ID,Location,Latitude,Longitude,Habitat state,Habitat type,Dominant plant,Core depth,Soil carbon stock MgC_ha,Reference,Reference_detail
84,Jiangsu province6,"32°50'42.99""N","120°53'13.30""E",Natural,salt marsh,Phragmites australis,0-40,286.44,Wang et al. 2017a,"Wang, L., He, D., Liu, H., Jiang, H., & Wang, H., 2017a. Distribution of soil organic carbon under different vegetation successions in the coastal wetland of Jiangsu. Journal of Anhui Agricultural University, 44(6): 1-6. (in Chinese)"
85,Jiangsu province7,"32°52'4.09""N","120°55'11.91""E",Natural,salt marsh,Suaeda  glauca ,0-40,260.3,Wang et al. 2017a,"Wang, L., He, D., Liu, H., Jiang, H., & Wang, H., 2017a. Distribution of soil organic carbon under different vegetation successions in the coastal wetland of Jiangsu. Journal of Anhui Agricultural University, 44(6): 1-6. (in Chinese)"
86,Jiangsu province8,"32°41'27.32""N","120°54'57.37""E",Natural,salt marsh,S. alterniflora,0-40,313.34,Wang et al. 2017a,"Wang, L., He, D., Liu, H., Jiang, H., & Wang, H., 2017a. Distribution of soil organic carbon under different vegetation successions in the coastal wetland of Jiangsu. Journal of Anhui Agricultural University, 44(6): 1-6. (in Chinese)"
87,laizhou bay5,"37° 6'30.41""N","119°23'20.64""E",Natural,salt marsh,Suaeda  glauca ,0-30,85.6,Xie et al. 2017 ,"Xie, L., Wang, M., Wang, B., Shi, X., Xin, M., Wei, Q., He, X., Guo, F., 2017. Distribution pattern and influencing factors of vegetation carbon storage of Tamarix Chinese in the coastal wetland of Laizhou Bay, China. Chinese Journal of Applied Ecology, 28(4):1103-1111. (in Chinese)"
88,huanghe Estuary,"38° 2'42.79""N","118°47'53.56""E",Natural,salt marsh,Phragmites australis,0-60,136,Luo et al. 2015 ,"Luo, X., Jia, H., Yang, J., & Wang, Z., 2015. A comparison of soil organic carbon pools in two typical estuary reed wetlands in Northern China. Periodical of Ocean University of China, 45(3):99-106. (in Chinese)"
89,liaohe Estuary,"40°58'49.83""N","121°53'12.92""E",Natural,salt marsh,Phragmites australis,0-60,421,Luo et al. 2015 ,"Luo, X., Jia, H., Yang, J., & Wang, Z., 2015. A comparison of soil organic carbon pools in two typical estuary reed wetlands in Northern China. Periodical of Ocean University of China, 45(3):99-106. (in Chinese)"
90,mindong Fujian1,"27°15'32.47""N","120°21'29.02""E",Natural,mangrove,A. marina,0-60,94.3,Liao et al. 2013 ,"Liao, X., He, D., Wang, RF., Cai, J., SU, S., & Zhang, Z., et al., 2013. Distribution pattern of soil organic carbon contents in the coastal wetlands in eastern Fujian. Wetland Science, 11 (2): 192-197. (in Chinese)"
91,mindong Fujian2,"27°27'57.24""N","120°37'49.22""E",Natural,mangrove,paddy,0-60,57,Liao et al. 2013 ,"Liao, X., He, D., Wang, RF., Cai, J., SU, S., & Zhang, Z., et al., 2013. Distribution pattern of soil organic carbon contents in the coastal wetlands in eastern Fujian. Wetland Science, 11 (2): 192-197. (in Chinese)"
92,mindong Fujian3,"27°43'19.11""N","120°45'27.33""E",Natural,mangrove,Mudflat,0-60,35.33,Liao et al. 2013 ,"Liao, X., He, D., Wang, RF., Cai, J., SU, S., & Zhang, Z., et al., 2013. Distribution pattern of soil organic carbon contents in the coastal wetlands in eastern Fujian. Wetland Science, 11 (2): 192-197. (in Chinese)"
93,Minjiang Estuary up,"26°02'57.7""N","119°16'56.2""E",Natural,salt marsh,Phragmites australis,0-60,153.42,Wang et al. 2012 ,"Wang, W., Wang, C., Zeng, C., & Tong, C., 2012. Soil carbon, nitrogen and phosphorus ecological stoichiometry of Phragmites australis wetlands in different reaches in Minjiang River estuary. Acta Ecologica Sinica, 32(13): 4087-4093. (in Chinese)"
94,Minjiang Estuary middle ,"26°03'04""N","119°31'42""E",Natural,salt marsh,Phragmites australis,0-60,154.82,Wang et al. 2012 ,"Wang, W., Wang, C., Zeng, C., & Tong, C., 2012. Soil carbon, nitrogen and phosphorus ecological stoichiometry of Phragmites australis wetlands in different reaches in Minjiang River estuary. Acta Ecologica Sinica, 32(13): 4087-4093. (in Chinese)"
95,Minjiang Estuary down,"26°01'47.2""N","119°37'33.4""E",Natural,salt marsh,Phragmites australis,0-60,156.92,Wang et al. 2012 ,"Wang, W., Wang, C., Zeng, C., & Tong, C., 2012. Soil carbon, nitrogen and phosphorus ecological stoichiometry of Phragmites australis wetlands in different reaches in Minjiang River estuary. Acta Ecologica Sinica, 32(13): 4087-4093. (in Chinese)"
96,Tianjin1,"38°43'25.43""N","117°24'29.11""E",Natural,salt marsh,Phragmites australis,0-30,235.33,Chen et al. 2013 ,"Chen, G., Cheng, S., Liu, J., Cong, M., Gao, X., & Wang, H., et al., 2013. Physical-chemical Properties of Soil, C and N of Three Typical Communities in Tianjin Coastal Wetland. Bulletin of Botanical Research, 35(3): 406-411. (in Chinese)"
97,Tianjin2,"39° 7'1.88""N","117°42'44.90""E",Natural,salt marsh,Suaeda glauca ,0-30,190,Chen et al. 2013 ,"Chen, G., Cheng, S., Liu, J., Cong, M., Gao, X., & Wang, H., et al., 2013. Physical-chemical Properties of Soil, C and N of Three Typical Communities in Tianjin Coastal Wetland. Bulletin of Botanical Research, 35(3): 406-411. (in Chinese)"
98,Tianjin3,"39° 9'54.52""N","117°45'51.65""E",Natural,salt marsh,Aeluropus sinensis ,0-30,213,Chen et al. 2013 ,"Chen, G., Cheng, S., Liu, J., Cong, M., Gao, X., & Wang, H., et al., 2013. Physical-chemical Properties of Soil, C and N of Three Typical Communities in Tianjin Coastal Wetland. Bulletin of Botanical Research, 35(3): 406-411. (in Chinese)"
