ID,Location,Latitude,Longitude,Habitat state,Habitat type,Dominant plant,Core depth,Soil carbon stock MgC_ha,Reference,Reference_detail
46,Jiangsu province3,"34°38'32.59""N","119°17'50.69""E",Reclaimed,salt marsh,Woodland,0-20,155.7,Chuai et al. 2012 ,"Chuai, X. W., Huang, X. J., Wang, W. J., et al., 2012. Spatial variability of soil organic carbon and related factors in Jiangsu province, China. Pedosphere, 22(3), 404-414."
47,Jiangsu province4,"34°50'55.99""N","119°10'42.91""E",Reclaimed,salt marsh,Constructed,0-20,192,Chuai et al. 2012 ,"Chuai, X. W., Huang, X. J., Wang, W. J., et al., 2012. Spatial variability of soil organic carbon and related factors in Jiangsu province, China. Pedosphere, 22(3), 404-414."
48,Wafangdian1,"39°53'10.00""N","121°38'8.31""E",Reclaimed,salt marsh,Cultivated,0-20,56.3,Wang et al. 2017b ,"Wang, S., Zhuang, Q., Jia, S., Jin, X., & Wang, Q., 2017b. Spatial variations of soil organic carbon stocks in a coastal hilly area of China. Geoderma, 314, 8-19."
49,Wafangdian2,"39°51'13.68""N","121°34'43.69""E",Natural,salt marsh,Grassland,0-20,86.5,Wang et al. 2017b ,"Wang, S., Zhuang, Q., Jia, S., Jin, X., & Wang, Q., 2017b. Spatial variations of soil organic carbon stocks in a coastal hilly area of China. Geoderma, 314, 8-19."
50,Wafangdian,"39°48'32.30""","121°30'33.49""E",Natural,salt marsh,Forest,0-20,94.1,Wang et al. 2017b ,"Wang, S., Zhuang, Q., Jia, S., Jin, X., & Wang, Q., 2017b. Spatial variations of soil organic carbon stocks in a coastal hilly area of China. Geoderma, 314, 8-19."
51,Chongming island1,"31°31'33.14""N","121°55'7.14""E",Natural,salt marsh,Spartina alterniflora,0-30,77.33,Jiang et al. 2015 ,"Jiang, J., Huang, X., LI, X., Yan, Z., LI, X., & Ding, W., 2015. Soil organic carbon storage in tidal wetland and its relationships with soil physico-chemical factors: a case study of Dongtan of Chongming, Shanghai. Journal of Ecology and Rural Environment, 4, 540-547. (in Chinese)"
52,Chongming island2,"31°45'38.26""N","121°23'1.98""E",Natural,salt marsh,Phragmites australis,0-20,71.28,Shi et al. 2010 ,"Shi, L., Zheng, L., Mei X., Yu, L., Jia, Z., 2010. Characteristics of soil organic carbon and total nitrogen under different land use types in Shanghai. Chinese Journal of Applied Ecology, 9, 2279-2287. (in Chinese)"
53,Yellow River delta,"37°53'34.63""N","118°50'50.14""E",Natural,salt marsh,grass,0-30,80.33,Yu et al. 2013 ,"Yu, J., Wang, Y., Dong, H., Wang, X., Li, Y., Zhou, D., & Gao, Y., 2013. Estimation of soil organic carbon storage in coastal wetlands of modern Yellow River delta based on landscape pattern. Wetland Science, 1, 1-6. (in Chinese)"
54,Binhai Tiianjin,"38°47'48.21""N","117°24'59.67""E",Natural,salt marsh,S. salsa,0-30,156.67,Hao et al. 2011 ,"Hao, C., Li, H., Li, S., Meng, W., Wu, X., & Wang, X., 2011. Analysis of soil organic carbon storage and influencing factors in the soil of Binhai wetland in Tianjin. Research of Environmental Sciences, 11, 1276-1282. (in Chinese)"
55,Chongming island3 ,"31°34'33.32""N","121°49'49.28""E",Natural,salt marsh,Phragmites australis,0-50,85,Chen et al. 2017 ,"Chen, H., Zhang, tian., Ge, Z., & Zhang, L., 2017. Distribution of soil carbon and nitrogen stocks in salt marsh wetland in Dongtan of Chongming. Journal of Ecology and Rural Environment, 3, 242-251. (in Chinese)"
