"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"37","Ward et al 2021","MAW Elkhorn Slough SM 37","Elkhorn Slough","Elkhorn Slough SM 37","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.781,10.31,0.665,"https://doi.org/10.5194/bg-18-4717-2021"
"38","Ward et al 2021","MAW Elkhorn Slough SM 38","Elkhorn Slough","Elkhorn Slough SM 38","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",3.74,13.51,0.539,"https://doi.org/10.5194/bg-18-4717-2021"
"39","Ward et al 2021","MAW Elkhorn Slough SM 39","Elkhorn Slough","Elkhorn Slough SM 39","Salt Marsh",36.8133,-121.76839,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",4.374,15.59,0.623,"https://doi.org/10.5194/bg-18-4717-2021"
"40","Ward et al 2021","MAW Elkhorn Slough SM 40","Elkhorn Slough","Elkhorn Slough SM 40","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",5.829,20.26,0.314,"https://doi.org/10.5194/bg-18-4717-2021"
"41","Ward et al 2021","MAW Elkhorn Slough SM 41","Elkhorn Slough","Elkhorn Slough SM 41","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",4.185,14.97,0.479,"https://doi.org/10.5194/bg-18-4717-2021"
"42","Ward et al 2021","MAW Elkhorn Slough SM 42","Elkhorn Slough","Elkhorn Slough SM 42","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",3.816,13.76,0.484,"https://doi.org/10.5194/bg-18-4717-2021"
"43","Ward et al 2021","MAW Elkhorn Slough SM 43","Elkhorn Slough","Elkhorn Slough SM 43","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",4.057,14.55,0.491,"https://doi.org/10.5194/bg-18-4717-2021"
"44","Ward et al 2021","MAW Elkhorn Slough SM 44","Elkhorn Slough","Elkhorn Slough SM 44","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.147,11.54,0.549,"https://doi.org/10.5194/bg-18-4717-2021"
"45","Ward et al 2021","MAW Elkhorn Slough SM 45","Elkhorn Slough","Elkhorn Slough SM 45","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",2.858,10.57,0.57,"https://doi.org/10.5194/bg-18-4717-2021"
"46","Ward et al 2021","MAW Elkhorn Slough SM 46","Elkhorn Slough","Elkhorn Slough SM 46","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",2.944,10.86,0.586,"https://doi.org/10.5194/bg-18-4717-2021"
"47","Ward et al 2021","MAW Elkhorn Slough SM 47","Elkhorn Slough","Elkhorn Slough SM 47","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",6.51,22.41,0.429,"https://doi.org/10.5194/bg-18-4717-2021"
"48","Ward et al 2021","MAW Elkhorn Slough SM 48","Elkhorn Slough","Elkhorn Slough SM 48","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",7.71,26.16,0.521,"https://doi.org/10.5194/bg-18-4717-2021"
"49","Ward et al 2021","MAW Elkhorn Slough SM 49","Elkhorn Slough","Elkhorn Slough SM 49","Salt Marsh",36.81294,-121.76804,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",4.202,15.03,0.765,"https://doi.org/10.5194/bg-18-4717-2021"
"50","Ward et al 2021","MAW Elkhorn Slough SM 50","Elkhorn Slough","Elkhorn Slough SM 50","Salt Marsh",36.81,-121.77,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",3.6,13.048,0.618,"https://doi.org/10.5194/bg-18-4717-2021"
"51","Ward et al 2021","MAW Elkhorn Slough SM 51","Elkhorn Slough","Elkhorn Slough SM 51","Salt Marsh",36.81,-121.78,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",2.814,10.421,0.762,"https://doi.org/10.5194/bg-18-4717-2021"
"52","Ward et al 2021","MAW Elkhorn Slough SM 52","Elkhorn Slough","Elkhorn Slough SM 52","Salt Marsh",36.81,-121.79,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",3.66,13.249,0.674,"https://doi.org/10.5194/bg-18-4717-2021"
"53","Ward et al 2021","MAW Elkhorn Slough SM 53","Elkhorn Slough","Elkhorn Slough SM 53","Salt Marsh",36.81,-121.8,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",3.024,11.128,0.707,"https://doi.org/10.5194/bg-18-4717-2021"
"54","Ward et al 2021","MAW Elkhorn Slough SM 54","Elkhorn Slough","Elkhorn Slough SM 54","Salt Marsh",36.81,-121.81,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.347,12.207,0.798,"https://doi.org/10.5194/bg-18-4717-2021"
"55","Ward et al 2021","MAW Elkhorn Slough SM 55","Elkhorn Slough","Elkhorn Slough SM 55","Salt Marsh",36.81,-121.82,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",3.199,11.716,0.855,"https://doi.org/10.5194/bg-18-4717-2021"
"56","Ward et al 2021","MAW Elkhorn Slough SM 56","Elkhorn Slough","Elkhorn Slough SM 56","Salt Marsh",36.81,-121.83,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.094,11.362,1.071,"https://doi.org/10.5194/bg-18-4717-2021"
"57","Ward et al 2021","MAW Elkhorn Slough SM 57","Elkhorn Slough","Elkhorn Slough SM 57","Salt Marsh",36.81,-121.84,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",2.945,10.862,0.796,"https://doi.org/10.5194/bg-18-4717-2021"
"58","Ward et al 2021","MAW Elkhorn Slough SM 58","Elkhorn Slough","Elkhorn Slough SM 58","Salt Marsh",36.81,-121.85,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",2.711,10.07,0.771,"https://doi.org/10.5194/bg-18-4717-2021"
"59","Ward et al 2021","MAW Elkhorn Slough SM 59","Elkhorn Slough","Elkhorn Slough SM 59","Salt Marsh",36.81,-121.86,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",2.76,10.238,0.868,"https://doi.org/10.5194/bg-18-4717-2021"
"60","Ward et al 2021","MAW Elkhorn Slough SM 60","Elkhorn Slough","Elkhorn Slough SM 60","Salt Marsh",36.81,-121.87,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",2.567,9.582,0.918,"https://doi.org/10.5194/bg-18-4717-2021"
"61","Ward et al 2021","MAW Elkhorn Slough SM 61","Elkhorn Slough","Elkhorn Slough SM 61","Salt Marsh",36.81,-121.88,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",2.518,9.415,0.96,"https://doi.org/10.5194/bg-18-4717-2021"
"62","Ward et al 2021","MAW Elkhorn Slough SM 62","Elkhorn Slough","Elkhorn Slough SM 62","Salt Marsh",36.81,-121.92,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",18.04,56.866,0.368,"https://doi.org/10.5194/bg-18-4717-2021"
"63","Ward et al 2021","MAW Elkhorn Slough SM 63","Elkhorn Slough","Elkhorn Slough SM 63","Salt Marsh",36.81,-121.93,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",3.793,13.688,0.476,"https://doi.org/10.5194/bg-18-4717-2021"
"64","Ward et al 2021","MAW Elkhorn Slough SM 64","Elkhorn Slough","Elkhorn Slough SM 64","Salt Marsh",36.81,-121.94,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",3.512,12.757,0.399,"https://doi.org/10.5194/bg-18-4717-2021"
"65","Ward et al 2021","MAW Elkhorn Slough SM 65","Elkhorn Slough","Elkhorn Slough SM 65","Salt Marsh",36.81,-121.95,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",4.799,16.966,0.47,"https://doi.org/10.5194/bg-18-4717-2021"
"66","Ward et al 2021","MAW Elkhorn Slough SM 66","Elkhorn Slough","Elkhorn Slough SM 66","Salt Marsh",36.81,-121.96,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",4.486,15.953,0.492,"https://doi.org/10.5194/bg-18-4717-2021"
"67","Ward et al 2021","MAW Elkhorn Slough SM 67","Elkhorn Slough","Elkhorn Slough SM 67","Salt Marsh",36.81,-121.97,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",5.292,18.554,0.484,"https://doi.org/10.5194/bg-18-4717-2021"
"68","Ward et al 2021","MAW Elkhorn Slough SM 68","Elkhorn Slough","Elkhorn Slough SM 68","Salt Marsh",36.81,-121.98,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",4.438,15.799,0.408,"https://doi.org/10.5194/bg-18-4717-2021"
"69","Ward et al 2021","MAW Elkhorn Slough SM 69","Elkhorn Slough","Elkhorn Slough SM 69","Salt Marsh",36.81,-121.99,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",3.777,13.635,0.493,"https://doi.org/10.5194/bg-18-4717-2021"
"70","Ward et al 2021","MAW Elkhorn Slough SM 70","Elkhorn Slough","Elkhorn Slough SM 70","Salt Marsh",36.81,-121.1,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",3.916,14.092,0.579,"https://doi.org/10.5194/bg-18-4717-2021"
"71","Ward et al 2021","MAW Elkhorn Slough SM 71","Elkhorn Slough","Elkhorn Slough SM 71","Salt Marsh",36.81,-121.111,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",4.329,15.442,0.42,"https://doi.org/10.5194/bg-18-4717-2021"
"72","Ward et al 2021","MAW Elkhorn Slough SM 72","Elkhorn Slough","Elkhorn Slough SM 72","Salt Marsh",36.81,-121.112,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",3.516,12.77,0.642,"https://doi.org/10.5194/bg-18-4717-2021"
"73","Ward et al 2021","MAW Elkhorn Slough SM 73","Elkhorn Slough","Elkhorn Slough SM 73","Salt Marsh",36.81,-121.113,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",3.914,14.084,0.521,"https://doi.org/10.5194/bg-18-4717-2021"
"74","Ward et al 2021","MAW Elkhorn Slough SM 74","Elkhorn Slough","Elkhorn Slough SM 74","Salt Marsh",36.81,-121.114,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",3.822,13.782,0.627,"https://doi.org/10.5194/bg-18-4717-2021"
"75","Ward et al 2021","MAW Elkhorn Slough SM 75","Elkhorn Slough","Elkhorn Slough SM 75","Salt Marsh",36.81,-121.115,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.894,14.019,0.576,"https://doi.org/10.5194/bg-18-4717-2021"
"76","Ward et al 2021","MAW Elkhorn Slough SM 76","Elkhorn Slough","Elkhorn Slough SM 76","Salt Marsh",36.81,-121.116,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",2.976,10.967,0.71,"https://doi.org/10.5194/bg-18-4717-2021"
"77","Ward et al 2021","MAW Elkhorn Slough SM 77","Elkhorn Slough","Elkhorn Slough SM 77","Salt Marsh",36.81,-121.117,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.527,12.809,0.661,"https://doi.org/10.5194/bg-18-4717-2021"
"78","Ward et al 2021","MAW Elkhorn Slough SM 78","Elkhorn Slough","Elkhorn Slough SM 78","Salt Marsh",36.81,-121.118,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",3.125,11.467,0.663,"https://doi.org/10.5194/bg-18-4717-2021"
"79","Ward et al 2021","MAW Elkhorn Slough SM 79","Elkhorn Slough","Elkhorn Slough SM 79","Salt Marsh",36.81,-121.119,"direct from dataset","2","USA",NA,0.16,0.18,"LOI","0.22*x^1.1",2.796,10.358,0.815,"https://doi.org/10.5194/bg-18-4717-2021"
"80","Ward et al 2021","MAW Elkhorn Slough SM 80","Elkhorn Slough","Elkhorn Slough SM 80","Salt Marsh",36.81,-121.12,"direct from dataset","2","USA",NA,0.18,0.2,"LOI","0.22*x^1.1",3.026,11.136,0.782,"https://doi.org/10.5194/bg-18-4717-2021"
"81","Ward et al 2021","MAW Elkhorn Slough SM 81","Elkhorn Slough","Elkhorn Slough SM 81","Salt Marsh",36.81,-121.123,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",3.083,11.327,0.989,"https://doi.org/10.5194/bg-18-4717-2021"
"82","Ward et al 2021","MAW Elkhorn Slough SM 82","Elkhorn Slough","Elkhorn Slough SM 82","Salt Marsh",36.81,-121.124,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",3.378,12.312,1.158,"https://doi.org/10.5194/bg-18-4717-2021"
"83","Ward et al 2021","MAW Elkhorn Slough SM 83","Elkhorn Slough","Elkhorn Slough SM 83","Salt Marsh",36.81,-121.125,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",3.424,12.464,1.12,"https://doi.org/10.5194/bg-18-4717-2021"
"84","Ward et al 2021","MAW Elkhorn Slough SM 84","Elkhorn Slough","Elkhorn Slough SM 84","Salt Marsh",36.81,-121.126,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",4.161,14.894,1.149,"https://doi.org/10.5194/bg-18-4717-2021"
"85","Ward et al 2021","MAW Elkhorn Slough SM 85","Elkhorn Slough","Elkhorn Slough SM 85","Salt Marsh",36.81,-121.127,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.324,12.134,1.37,"https://doi.org/10.5194/bg-18-4717-2021"
"86","Ward et al 2021","MAW Elkhorn Slough SM 86","Elkhorn Slough","Elkhorn Slough SM 86","Salt Marsh",36.81,-121.128,"direct from dataset","2","USA",NA,0.1,0.12,"LOI","0.22*x^1.1",3.106,11.402,1.192,"https://doi.org/10.5194/bg-18-4717-2021"
"87","Ward et al 2021","MAW Elkhorn Slough SM 87","Elkhorn Slough","Elkhorn Slough SM 87","Salt Marsh",36.81,-121.129,"direct from dataset","2","USA",NA,0.12,0.14,"LOI","0.22*x^1.1",3.172,11.624,1.263,"https://doi.org/10.5194/bg-18-4717-2021"
"88","Ward et al 2021","MAW Elkhorn Slough SM 88","Elkhorn Slough","Elkhorn Slough SM 88","Salt Marsh",36.81,-121.13,"direct from dataset","2","USA",NA,0.14,0.16,"LOI","0.22*x^1.1",2.958,10.906,1.294,"https://doi.org/10.5194/bg-18-4717-2021"
"89","Ward et al 2021","MAW Elkhorn Slough SM 89","Elkhorn Slough","Elkhorn Slough SM 89","Salt Marsh",36.81,-121.131,"direct from dataset","2","USA",NA,0,0.02,"LOI","0.22*x^1.1",3.283,11.994,1.107,"https://doi.org/10.5194/bg-18-4717-2021"
"90","Ward et al 2021","MAW Elkhorn Slough SM 90","Elkhorn Slough","Elkhorn Slough SM 90","Salt Marsh",36.81,-121.132,"direct from dataset","2","USA",NA,0.02,0.04,"LOI","0.22*x^1.1",3.346,12.206,1.133,"https://doi.org/10.5194/bg-18-4717-2021"
"91","Ward et al 2021","MAW Elkhorn Slough SM 91","Elkhorn Slough","Elkhorn Slough SM 91","Salt Marsh",36.81,-121.133,"direct from dataset","2","USA",NA,0.04,0.06,"LOI","0.22*x^1.1",3.073,11.293,1.266,"https://doi.org/10.5194/bg-18-4717-2021"
"92","Ward et al 2021","MAW Elkhorn Slough SM 92","Elkhorn Slough","Elkhorn Slough SM 92","Salt Marsh",36.81,-121.134,"direct from dataset","2","USA",NA,0.06,0.08,"LOI","0.22*x^1.1",2.897,10.702,1.177,"https://doi.org/10.5194/bg-18-4717-2021"
"93","Ward et al 2021","MAW Elkhorn Slough SM 93","Elkhorn Slough","Elkhorn Slough SM 93","Salt Marsh",36.81,-121.135,"direct from dataset","2","USA",NA,0.08,0.1,"LOI","0.22*x^1.1",3.137,11.506,1.183,"https://doi.org/10.5194/bg-18-4717-2021"
