"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"37","Bulmer et al 2020","RHB 31","tairua mid",31,"saltmarsh",-37.021096,175.84111,"direct from dataset","1","New Zealand",2016,0.4,0.5,"EA",0.599925,0.03,1.08,"https://doi.org/10.3389/fmars.2020.00380"
"38","Bulmer et al 2020","RHB 32","tairua mid",32,"saltmarsh",-37.02132,175.841643,"direct from dataset","1","New Zealand",2016,0.4,0.5,"EA",0.28628,0.02,1.03,"https://doi.org/10.3389/fmars.2020.00380"
"39","Bulmer et al 2020","RHB 33","tairua mid",33,"saltmarsh",-37.021554,175.842077,"direct from dataset","1","New Zealand",2016,0.4,0.5,"EA",0.0842,0.02,0.89,"https://doi.org/10.3389/fmars.2020.00380"
"40","Bulmer et al 2020","RHB 31","tairua mid",31,"saltmarsh",-37.021096,175.84111,"direct from dataset","1","New Zealand",2016,0.9,1,"EA",0.28084,0.02,1.29,"https://doi.org/10.3389/fmars.2020.00380"
"41","Bulmer et al 2020","RHB 32","tairua mid",32,"saltmarsh",-37.02132,175.841643,"direct from dataset","1","New Zealand",2016,0.9,1,"EA",0.13,0.02,1.31,"https://doi.org/10.3389/fmars.2020.00380"
"42","Bulmer et al 2020","RHB 33","tairua mid",33,"saltmarsh",-37.021554,175.842077,"direct from dataset","1","New Zealand",2016,0.9,1,"EA",0.569704,0.04,1.12,"https://doi.org/10.3389/fmars.2020.00380"
"43","Bulmer et al 2020","RHB 1","tairua upper",1,"saltmarsh",-37.028766,175.830954,"direct from dataset","1","New Zealand",2016,0,0.02,"EA",4.98932,0.6,0.69,"https://doi.org/10.3389/fmars.2020.00380"
"44","Bulmer et al 2020","RHB 2","tairua upper",2,"saltmarsh",-37.029026,175.83192,"direct from dataset","1","New Zealand",2016,0,0.02,"EA",4.43572,0.49,0.37,"https://doi.org/10.3389/fmars.2020.00380"
"45","Bulmer et al 2020","RHB 3","tairua upper",3,"saltmarsh",-37.029176,175.832715,"direct from dataset","1","New Zealand",2016,0,0.02,"EA",6.32488,0.62,0.44,"https://doi.org/10.3389/fmars.2020.00380"
"46","Bulmer et al 2020","RHB 1","tairua upper",1,"saltmarsh",-37.028766,175.830954,"direct from dataset","1","New Zealand",2016,0.02,0.1,"EA",2.790006,0.13,0.62,"https://doi.org/10.3389/fmars.2020.00380"
"47","Bulmer et al 2020","RHB 2","tairua upper",2,"saltmarsh",-37.029026,175.83192,"direct from dataset","1","New Zealand",2016,0.02,0.1,"EA",7.07018,0.47,0.33,"https://doi.org/10.3389/fmars.2020.00380"
