"","Source","Site_name","Original_source","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","SOM_perc","SOM_perc_mean","SOM_perc_sd","OC_perc","OC_perc_mean","OC_perc_sd","BD_reported_g_cm3"
"1","Copertino et al under review","MC 4","Braga et al 2011","Algodoal",4,"Salt marsh",-0.6786,-47.8463,"direct from dataset","1","Brazil","2007",0,0.1,"LOI","0.47*x+0.0008",NA,0.17,0.07,NA,0.08,0.0337,NA
"2","Copertino et al under review","MC 87","Negrin et al 2019","Bahia Blanca Spartina",87,"Salt marsh",-38.7403,-62.3539,"direct from dataset","1","Argentina","2011/2012",0,0.15,"LOI","0.47*x+0.0008",NA,8.9,1.75,NA,4.18,0.8233,NA
"3","Copertino et al under review","MC 88","Negrin et al 2019","Bahia Blanca Spartina",88,"Salt marsh",-38.7403,-62.3539,"direct from dataset","1","Argentina","2011/2012",0,0.15,"LOI","0.47*x+0.0008",NA,2.36,0.75,NA,1.11,0.3533,NA
"4","Copertino et al under review","MC 89","Negrin et al 2019","Bahia Blanca Spartina",89,"Salt marsh",-38.7403,-62.3539,"direct from dataset","1","Argentina","2011/2012",0,0.15,"LOI","0.47*x+0.0008",NA,8.56,0.45,NA,4.02,0.2123,NA
"5","Copertino et al under review","MC 8","Braga et al 2011","Bragança",8,"Salt marsh",-0.7889,-46.7217,"direct from dataset","1","Brazil","2007",0,0.1,"LOI","0.47*x+0.0008",NA,0.39,0.27,NA,0.18,0.1277,NA
"6","Copertino et al under review","MC 18","Adaime 1978","Cananéia / Pta. Arrozal",18,"Salt marsh",-25.0367,-47.93,"direct from dataset","1","Brazil","1974",0,0.05,"LOI","0.47*x+0.0008",10.2,NA,NA,3.4,NA,NA,NA
"7","Copertino et al under review","MC 18","Adaime 1978","Cananéia / Pta. Arrozal",18,"Salt marsh",-25.0367,-47.93,"direct from dataset","1","Brazil","1974",0.05,0.1,"LOI","0.47*x+0.0008",16.08,NA,NA,4.4,NA,NA,NA
"8","Copertino et al under review","MC 18","Adaime 1978","Cananéia / Pta. Arrozal",18,"Salt marsh",-25.0367,-47.93,"direct from dataset","1","Brazil","1974",0.1,0.2,"LOI","0.47*x+0.0008",15.07,NA,NA,5.4,NA,NA,NA
"9","Copertino et al under review","MC 21","Flynn et al 1998","Cananéia / Pta. Arrozal",21,"Salt marsh",-25.0366,-47.9282,"direct from dataset","1","Brazil","1988",0,0.1,"LOI","0.47*x+0.0008",NA,0.03,NA,0.01,NA,NA,NA
"10","Copertino et al under review","MC 24","Flynn et al 1998","Cananéia / Pta. Arrozal",24,"Salt marsh",-25.0366,-47.9282,"direct from dataset","1","Brazil","1988",0,0.1,"LOI","0.47*x+0.0008",NA,1.27,NA,0.6,NA,NA,NA
"11","Copertino et al under review","MC 16","Ottero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2004",0,0.015,"EA","0.47*x+0.0008",NA,NA,NA,4.3,NA,NA,NA
"12","Copertino et al under review","MC 16","Ottero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2004",0.015,0.045,"EA","0.47*x+0.0008",NA,NA,NA,4.6,NA,NA,NA
"13","Copertino et al under review","MC 16","Ottero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2004",0.045,0.08,"EA","0.47*x+0.0008",NA,NA,NA,4.15,NA,NA,NA
"14","Copertino et al under review","MC 16","Ottero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2004",0.08,0.125,"EA","0.47*x+0.0008",NA,NA,NA,3.7,NA,NA,NA
"15","Copertino et al under review","MC 16","Ottero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2004",0.125,0.175,"EA","0.47*x+0.0008",NA,NA,NA,4.1,NA,NA,NA
"16","Copertino et al under review","MC 16","Ottero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2004",0.175,0.225,"EA","0.47*x+0.0008",NA,NA,NA,3.6,NA,NA,NA
"17","Copertino et al under review","MC 16","Ottero et al 2006","Cananéia /Pai Matos",16,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2004",0.225,0.275,"EA","0.47*x+0.0008",NA,NA,NA,2.4,NA,NA,NA
"18","Copertino et al under review","MC 17","Ferreira 2008","Cananéia /Pai Matos",17,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2005",0,0.05,"EA","0.47*x+0.0008",NA,NA,NA,3.7,NA,NA,NA
"19","Copertino et al under review","MC 17","Ferreira 2008","Cananéia /Pai Matos",17,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2005",0.05,0.1,"EA","0.47*x+0.0008",NA,NA,NA,4,NA,NA,NA
"20","Copertino et al under review","MC 17","Ferreira 2008","Cananéia /Pai Matos",17,"Salt marsh",-24.9981,-47.9067,"direct from dataset","1","Brazil","2005",0.2,0.4,"EA","0.47*x+0.0008",NA,NA,NA,4.02,NA,NA,NA
"21","Copertino et al under review","MC 7","Braga et al 2011","Canela",7,"Salt marsh",-0.7874,-46.723,"direct from dataset","1","Brazil","2007",0,0.1,"LOI","0.47*x+0.0008",NA,0.18,0.06,NA,0.09,0.029,NA
"22","Copertino et al under review","MC 1","Braga et al 2011","Curuça",1,"Salt marsh",-0.602,-47.5796,"direct from dataset","1","Brazil","2007",0,0.1,"LOI","0.47*x+0.0008",NA,0.68,0.11,NA,0.32,0.0525,NA
"23","Copertino et al under review","MC 45","Zanin 2003","Floripa/Ratones",45,"Salt marsh",-27.4517,-48.5278,"direct from dataset","1","Brazil","2000/ 2001",0,0.1,"LOI","0.47*x+0.0008",15.18,NA,NA,7.14,NA,NA,NA
"24","Copertino et al under review","MC 46","Zanin 2003","Floripa/Ratones",46,"Salt marsh",-27.4517,-48.5278,"direct from dataset","1","Brazil","2000/ 2001",0,0.1,"LOI","0.47*x+0.0008",15.04,NA,NA,7.07,NA,NA,NA
"25","Copertino et al under review","MC 47","Zanin 2003","Floripa/Ratones",47,"Salt marsh",-27.4519,-48.5364,"direct from dataset","1","Brazil","2000/ 2001",0,0.1,"LOI","0.47*x+0.0008",15.65,NA,NA,7.36,NA,NA,NA
"26","Copertino et al under review","MC 48","Zanin 2003","Floripa/Ratones",48,"Salt marsh",-27.4519,-48.5364,"direct from dataset","1","Brazil","2000/ 2001",0,0.1,"LOI","0.47*x+0.0008",14,NA,NA,6.58,NA,NA,NA
"27","Copertino et al under review","MC 49","Zanin 2003","Floripa/Ratones",49,"Salt marsh",-27.4531,-48.5303,"direct from dataset","1","Brazil","2000/ 2001",0,0.1,"LOI","0.47*x+0.0008",17.78,NA,NA,8.36,NA,NA,NA
"28","Copertino et al under review","MC 50","Zanin 2003","Floripa/Ratones",50,"Salt marsh",-27.4531,-48.5303,"direct from dataset","1","Brazil","2000/ 2001",0,0.1,"LOI","0.47*x+0.0008",16.65,NA,NA,7.83,NA,NA,NA
"29","Copertino et al under review","MC 86","Hidalgo et al 2021","Mar Chiquita",86,"Salt marsh",-37.7492,-57.4211,"direct from dataset","1","Argentina","2011",0,0.07,"LOI","0.47*x+0.0008",NA,6.5,1.21,NA,3.06,0.5695,NA
"30","Copertino et al under review","MC 2","Braga et al 2011","Marapanim",2,"Salt marsh",-0.6078,-47.3258,"direct from dataset","1","Brazil","2007",0,0.1,"LOI","0.47*x+0.0008",NA,0.67,0.07,NA,0.32,0.0337,NA
"31","Copertino et al under review","MC 3","Braga et al 2011","Maruda",3,"Salt marsh",-0.6078,-47.6336,"direct from dataset","1","Brazil","2007",0,0.1,"LOI","0.47*x+0.0008",NA,0.1,0.12,NA,0.05,0.0572,NA
"32","Copertino et al under review","MC 25","Neto & Lana 1997","Paranaguá Bay",25,"Salt marsh",-25.4944,-48.6411,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",25,NA,NA,11.75,NA,NA,NA
"33","Copertino et al under review","MC 26","Neto & Lana 1997","Paranaguá Bay",26,"Salt marsh",-25.4543,-48.5939,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",25,NA,NA,11.75,NA,NA,NA
"34","Copertino et al under review","MC 27","Neto & Lana 1997","Paranaguá Bay",27,"Salt marsh",-25.5129,-48.5911,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",19,NA,NA,8.93,NA,NA,NA
"35","Copertino et al under review","MC 28","Neto & Lana 1997","Paranaguá Bay",28,"Salt marsh",-25.4534,-48.5329,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",17,NA,NA,7.99,NA,NA,NA
"36","Copertino et al under review","MC 29","Neto & Lana 1997","Paranaguá Bay",29,"Salt marsh",-25.4762,-48.5027,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",14,NA,NA,6.58,NA,NA,NA
"37","Copertino et al under review","MC 30","Neto & Lana 1997","Paranaguá Bay",30,"Salt marsh",-25.5104,-48.4614,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",8,NA,NA,3.76,NA,NA,NA
"38","Copertino et al under review","MC 31","Neto & Lana 1997","Paranaguá Bay",31,"Salt marsh",-25.5528,-48.4393,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",5,NA,NA,2.35,NA,NA,NA
"39","Copertino et al under review","MC 32","Neto & Lana 1997","Paranaguá Bay",32,"Salt marsh",-25.5133,-48.4274,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",4,NA,NA,1.88,NA,NA,NA
"40","Copertino et al under review","MC 33","Neto & Lana 1997","Paranaguá Bay",33,"Salt marsh",-25.54,-48.4059,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA
"41","Copertino et al under review","MC 34","Neto & Lana 1997","Paranaguá Bay",34,"Salt marsh",-25.546,-48.4148,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA
"42","Copertino et al under review","MC 35","Neto & Lana 1997","Paranaguá Bay",35,"Salt marsh",-25.5507,-48.3917,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",4,NA,NA,1.88,NA,NA,NA
"43","Copertino et al under review","MC 36","Neto & Lana 1997","Paranaguá Bay",36,"Salt marsh",-25.545,-48.3743,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA
"44","Copertino et al under review","MC 37","Neto & Lana 1997","Paranaguá Bay",37,"Salt marsh",-25.5119,-48.4403,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",2,NA,NA,0.94,NA,NA,NA
"45","Copertino et al under review","MC 38","Neto & Lana 1997","Paranaguá Bay",38,"Salt marsh",-25.557,-48.3647,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",2.5,NA,NA,1.18,NA,NA,NA
"46","Copertino et al under review","MC 39","Neto & Lana 1997","Paranaguá Bay",39,"Salt marsh",-25.5604,-48.3169,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA
"47","Copertino et al under review","MC 40","Neto & Lana 1997","Paranaguá Bay",40,"Salt marsh",-25.5507,-48.3917,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA
"48","Copertino et al under review","MC 41","Neto & Lana 1997","Paranaguá Bay",41,"Salt marsh",-25.545,-48.3743,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",1,NA,NA,0.47,NA,NA,NA
"49","Copertino et al under review","MC 42","Neto & Lana 1997","Paranaguá Bay",42,"Salt marsh",-25.545,-48.3743,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",3,NA,NA,1.41,NA,NA,NA
"50","Copertino et al under review","MC 43","Neto & Lana 1997","Paranaguá Bay",43,"Salt marsh",-25.557,-48.3647,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",1,NA,NA,0.47,NA,NA,NA
"51","Copertino et al under review","MC 44","Neto & Lana 1997","Paranaguá Bay",44,"Salt marsh",-25.5604,-48.3169,"direct from dataset","1","Brazil","1991",0,0.1,"LOI","0.47*x+0.0008",2,NA,NA,0.94,NA,NA,NA
"52","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil","2015",0,0.02,"EA","0.47*x+0.0008",NA,NA,NA,4.79,NA,NA,0.35
"53","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil","2015",0.02,0.04,"EA","0.47*x+0.0008",NA,NA,NA,5.39,NA,NA,0.31
"54","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil","2015",0.04,0.06,"EA","0.47*x+0.0008",NA,NA,NA,4.87,NA,NA,0.33
"55","Copertino et al under review","MC 55","UNPUBLISHED","Patos Lagoon",55,"Salt marsh",-32.019,-52.1002,"direct from dataset","1","Brazil","2015",0.06,0.08,"EA","0.47*x+0.0008",NA,NA,NA,4.47,NA,NA,0.32
