"","Source","Site_name","Site","Subsite","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","Conv_factor","DOI"
"49","Raw et al 2020","JLR Knysna 6 1","Knysna Estuary",6,1,"Saltmarsh","-34.025847"," 22.989842","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",9.231762427,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"50","Raw et al 2020","JLR Knysna 6 2","Knysna Estuary",6,2,"Saltmarsh","-34.025847"," 22.989842","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",18.23315467,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"51","Raw et al 2020","JLR Knysna 6 3","Knysna Estuary",6,3,"Saltmarsh","-34.025847"," 22.989842","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",24.22686428,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"52","Raw et al 2020","JLR Knysna 6 1","Knysna Estuary",6,1,"Saltmarsh","-34.025847"," 22.989842","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",8.542514699,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"53","Raw et al 2020","JLR Knysna 6 2","Knysna Estuary",6,2,"Saltmarsh","-34.025847"," 22.989842","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",5.021079058,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"54","Raw et al 2020","JLR Knysna 6 3","Knysna Estuary",6,3,"Saltmarsh","-34.025847"," 22.989842","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",9.887330421,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"55","Raw et al 2020","JLR Knysna 7 1","Knysna Estuary",7,1,"Saltmarsh","-34.025483"," 22.989683","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",1.750836797,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"56","Raw et al 2020","JLR Knysna 7 2","Knysna Estuary",7,2,"Saltmarsh","-34.025483"," 22.989683","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",3.837203009,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"57","Raw et al 2020","JLR Knysna 7 3","Knysna Estuary",7,3,"Saltmarsh","-34.025483"," 22.989683","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.379194356,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"58","Raw et al 2020","JLR Knysna 7 1","Knysna Estuary",7,1,"Saltmarsh","-34.025483"," 22.989683","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",1.962116368,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"59","Raw et al 2020","JLR Knysna 7 2","Knysna Estuary",7,2,"Saltmarsh","-34.025483"," 22.989683","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",2.415478289,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"60","Raw et al 2020","JLR Knysna 7 3","Knysna Estuary",7,3,"Saltmarsh","-34.025483"," 22.989683","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",2.773455061,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"61","Raw et al 2020","JLR Knysna 7 1","Knysna Estuary",7,1,"Saltmarsh","-34.025483"," 22.989683","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",3.881058927,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"62","Raw et al 2020","JLR Knysna 7 2","Knysna Estuary",7,2,"Saltmarsh","-34.025483"," 22.989683","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",2.897916998,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"63","Raw et al 2020","JLR Knysna 7 3","Knysna Estuary",7,3,"Saltmarsh","-34.025483"," 22.989683","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",3.289404323,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
