system:index,BD_reported_combined,BD_reported_g_cm3,BD_reported_g_cm3_mean,BD_reported_g_cm3_sd,BD_reported_g_cm3_se,Conv_factor,Core,Core_type,Country,Data_type,Depth_to_bedrock_m,Habitat_type,L_depth_m,Location,M2Tide,Method,N_perc,Nation,OC_perc,OC_perc_combined,OC_perc_mean,OC_perc_sd,OC_perc_se,Original_source,PETdry,Plot,Replicate,SOM_perc,SOM_perc_Heiri,SOM_perc_combined,SOM_perc_mean,SOM_perc_sd,Season,Site,Site_name,Source,State,Treatment,U_depth_m,Year_collected,Year_collected_end,accuracy_code,accuracy_flag,coastTyp,elevation,evi_med,evi_stdev,flowAcc,gHM_2016,maxTemp,merit_elevation,minPrecip,minTemp,n_cores,ndvi_med,ndvi_stdev,popDens_change,savi_med,savi_stdev,slope,.geo
0000000000000000a97c,0.54,0.54,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.33,NA,160.65691280523598,EA,NA,England,5.73,5.73,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.32,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a97d,0.6,0.6,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.34,NA,160.65691280523598,EA,NA,England,4.85,4.85,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.33,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a97e,0.57,0.57,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.35,NA,160.65691280523598,EA,NA,England,4.36,4.36,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.34,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a97f,0.48,0.48,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.36,NA,160.65691280523598,EA,NA,England,4.67,4.67,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.35,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a980,0.39,0.39,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.37,NA,160.65691280523598,EA,NA,England,5.13,5.13,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.36,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a981,0.56,0.56,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.38,NA,160.65691280523598,EA,NA,England,6.3,6.3,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.37,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a982,0.63,0.63,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.39,NA,160.65691280523598,EA,NA,England,5.94,5.94,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.38,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a983,0.84,0.84,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.4,NA,160.65691280523598,EA,NA,England,1.78,1.78,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.39,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a984,0.7,0.7,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.41,NA,160.65691280523598,EA,NA,England,1.57,1.57,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.4,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
0000000000000000a985,0.78,0.78,NA,NA,NA,NA,NI-N-17,NA,UK,Core-level,NA,Salt marsh,0.42,NA,160.65691280523598,EA,NA,England,1.4,1.4,NA,NA,NA,Smeaton unpublished Essex,39,NA,NA,NA,NA,NA,NA,NA,NA,Northy Island,CS NI-N-17,Smeaton unpublished Essex,NA,Natural,0.41,2019,NA,1,direct from dataset,2,1,1.7523032426834106,0.9628259539604187,2.0,0.6290174722671509,214,3.7704789638519287,31,5,NA,0.2162788212299347,0.05162797123193741,0.07580652832984924,0.3250967562198639,0.07744075357913971,2.382389545440674,"{""type"":""Point"",""coordinates"":[0.7102723703991802,51.71924475557734]}"
