"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","SOM_perc","SOM_perc_Heiri","N_perc","Conv_factor","Original_source","Admin_unit","Depth_to_bedrock_m","Treatment","Time_replicate","n_cores","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined","Horizon_mid_depth_cm","Horizon_bin_cm"
"Hu et al 2020","MH China 84","Yancheng coastal","China 84","Coastal wetland",33.62,120.62,"direct from dataset",2,"China",2011,2012,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Yin et al 2015",NA,NA,NA,NA,NA,NA,NA,0.043,NA,NA,NA,NA,NA,0.043,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 85","Yancheng coastal","China 85","Coastal wetland",33.63,120.63,"direct from dataset",2,"China",2011,2012,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Yin et al 2015",NA,NA,NA,NA,NA,NA,NA,0.123,NA,NA,NA,NA,NA,0.123,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 99","Yancheng coastal","China 99","Coastal wetland",30.63,120.63,"direct from dataset",2,"China",2013,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Yan et al 2017",NA,NA,NA,NA,NA,NA,NA,0.935,NA,NA,NA,NA,NA,0.935,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 100","Yancheng coastal","China 100","Coastal wetland",30.61,120.62,"direct from dataset",2,"China",2013,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Yan et al 2017",NA,NA,NA,NA,NA,NA,NA,0.258,NA,NA,NA,NA,NA,0.258,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 101","Yancheng coastal","China 101","Coastal wetland",30.6,120.59,"direct from dataset",2,"China",2013,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Yan et al 2017",NA,NA,NA,NA,NA,NA,NA,0.341,NA,NA,NA,NA,NA,0.341,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 102","Yancheng coastal","China 102","Coastal wetland",30.66,120.67,"direct from dataset",2,"China",2013,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Yan et al 2017",NA,NA,NA,NA,NA,NA,NA,0.698,NA,NA,NA,NA,NA,0.698,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 108","Yancheng coastal","China 108","Coastal wetland",33.63,120.55,"direct from dataset",2,"China",2005,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Zhou et al 2009",NA,NA,NA,NA,NA,NA,NA,0.593,NA,NA,NA,NA,NA,0.593,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 109","Yancheng coastal","China 109","Coastal wetland",33.67,120.62,"direct from dataset",2,"China",2005,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Zhou et al 2009",NA,NA,NA,NA,NA,NA,NA,0.158,NA,NA,NA,NA,NA,0.158,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 110","Yancheng coastal","China 110","Coastal wetland",33.68,120.65,"direct from dataset",2,"China",2005,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Zhou et al 2009",NA,NA,NA,NA,NA,NA,NA,0.418,NA,NA,NA,NA,NA,0.418,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 111","Yancheng coastal","China 111","Coastal wetland",33.7,120.67,"direct from dataset",2,"China",2005,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Zhou et al 2009",NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,0.044,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 161","Yancheng coastal","China 161","Coastal wetland",33.57,120.63,"direct from dataset",2,"China",2013,2014,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Xu et al 2016",NA,NA,NA,NA,NA,NA,NA,1.254,NA,NA,NA,NA,NA,1.254,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 162","Yancheng coastal","China 162","Coastal wetland",33.58,120.6,"direct from dataset",2,"China",2013,2014,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Xu et al 2016",NA,NA,NA,NA,NA,NA,NA,1.105,NA,NA,NA,NA,NA,1.105,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 163","Yancheng coastal","China 163","Coastal wetland",33.61,120.55,"direct from dataset",2,"China",2013,2014,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Xu et al 2016",NA,NA,NA,NA,NA,NA,NA,0.356,NA,NA,NA,NA,NA,0.356,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 164","Yancheng coastal","China 164","Coastal wetland",33.59,120.64,"direct from dataset",2,"China",2013,2014,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Xu et al 2016",NA,NA,NA,NA,NA,NA,NA,0.887,NA,NA,NA,NA,NA,0.887,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 166","Yancheng coastal","China 166","Coastal wetland",33.59,120.65,"direct from dataset",2,"China",2003,2004,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Wang et al 2009",NA,NA,NA,NA,NA,NA,NA,0.641,NA,NA,NA,NA,NA,0.641,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 172","Yancheng coastal","China 172","Coastal wetland",33.6,120.57,"direct from dataset",2,"China",2011,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Xu et al 2013",NA,NA,NA,NA,NA,NA,NA,0.143,NA,NA,NA,NA,NA,0.143,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 8","Yangtze River Estuary","China 8","Coastal wetland",31.5,122.02,"direct from dataset",2,"China",2012,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Li et al 2018",NA,NA,NA,NA,NA,NA,NA,0.755,NA,NA,NA,NA,NA,0.755,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 13","Yangtze River Estuary","China 13","Coastal wetland",31.53,121.97,"direct from dataset",2,"China",2008,2009,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Bu et al 2015",NA,NA,NA,NA,NA,NA,NA,0.52,NA,NA,NA,NA,NA,0.52,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 31","Yangtze River Estuary","China 31","Coastal wetland",31.5,121.97,"direct from dataset",2,"China",2012,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Sheng et al 2014",NA,NA,NA,NA,NA,NA,NA,0.539,NA,NA,NA,NA,NA,0.539,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 42","Yangtze River Estuary","China 42","Coastal wetland",31.45,121.95,"direct from dataset",2,"China",2004,2005,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Wang et al 2009",NA,NA,NA,NA,NA,NA,NA,0.398,NA,NA,NA,NA,NA,0.398,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 65","Yangtze River Estuary","China 65","Coastal wetland",31.17,122.02,"direct from dataset",2,"China",2004,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Cheng et al 2010",NA,NA,NA,NA,NA,NA,NA,0.632,NA,NA,NA,NA,NA,0.632,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 66","Yangtze River Estuary","China 66","Coastal wetland",31.18,122.03,"direct from dataset",2,"China",2004,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Cheng et al 2010",NA,NA,NA,NA,NA,NA,NA,0.702,NA,NA,NA,NA,NA,0.702,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 80","Yangtze River Estuary","China 80","Coastal wetland",31.46,121.96,"direct from dataset",2,"China",2008,2009,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Bu et al 2018",NA,NA,NA,NA,NA,NA,NA,0.573,NA,NA,NA,NA,NA,0.573,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 81","Yangtze River Estuary","China 81","Coastal wetland",31.47,121.97,"direct from dataset",2,"China",2009,2010,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Bu et al 2018",NA,NA,NA,NA,NA,NA,NA,0.552,NA,NA,NA,NA,NA,0.552,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 82","Yangtze River Estuary","China 82","Coastal wetland",31.48,121.98,"direct from dataset",2,"China",2009,2010,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Bu et al 2018",NA,NA,NA,NA,NA,NA,NA,0.294,NA,NA,NA,NA,NA,0.294,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 174","Yangtze River Estuary","China 174","Coastal wetland",31.5,122.05,"direct from dataset",2,"China",2011,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Li et al 2015",NA,NA,NA,NA,NA,NA,NA,0.842,NA,NA,NA,NA,NA,0.842,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 175","Yangtze River Estuary","China 175","Coastal wetland",31.6,122.06,"direct from dataset",2,"China",2011,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Li et al 2015",NA,NA,NA,NA,NA,NA,NA,0.543,NA,NA,NA,NA,NA,0.543,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 176","Yangtze River Estuary","China 176","Coastal wetland",31.48,122.05,"direct from dataset",2,"China",2004,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Yang et al 2006",NA,NA,NA,NA,NA,NA,NA,0.633,NA,NA,NA,NA,NA,0.633,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 177","Yangtze River Estuary","China 177","Coastal wetland",31.49,122.06,"direct from dataset",2,"China",2004,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Yang et al 2006",NA,NA,NA,NA,NA,NA,NA,0.553,NA,NA,NA,NA,NA,0.553,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 2","Yellow River Delta","China 2","Coastal wetland",37.71,119.25,"direct from dataset",2,"China",2013,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Chen et al 2018",NA,NA,NA,NA,NA,NA,NA,0.314,NA,NA,NA,NA,NA,0.314,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 3","Yellow River Delta","China 3","Coastal wetland",37.75,119.15,"direct from dataset",2,"China",2013,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Chen et al 2018",NA,NA,NA,NA,NA,NA,NA,0.219,NA,NA,NA,NA,NA,0.219,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 4","Yellow River Delta","China 4","Coastal wetland",37.75,119.1,"direct from dataset",2,"China",2013,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Chen et al 2018",NA,NA,NA,NA,NA,NA,NA,0.327,NA,NA,NA,NA,NA,0.327,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 5","Yellow River Delta","China 5","Coastal wetland",37.78,119.18,"direct from dataset",2,"China",2013,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Chen et al 2018",NA,NA,NA,NA,NA,NA,NA,0.256,NA,NA,NA,NA,NA,0.256,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 115","Yellow River Delta","China 115","Coastal wetland",37.79,118.91,"direct from dataset",2,"China",2012,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Song et al 2014",NA,NA,NA,NA,NA,NA,NA,0.461,NA,NA,NA,NA,NA,0.461,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 117","Yellow River Delta","China 117","Coastal wetland",37.8,118.91,"direct from dataset",2,"China",2012,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Song et al 2014",NA,NA,NA,NA,NA,NA,NA,0.454,NA,NA,NA,NA,NA,0.454,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 1","Yellow River Estuary","China 1","Coastal wetland",38.01,118.97,"direct from dataset",2,"China",2013,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Song and Li 2016",NA,NA,NA,NA,NA,NA,NA,0.457,NA,NA,NA,NA,NA,0.457,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 27","Yellow River Estuary","China 27","Coastal wetland",37.92,119.05,"direct from dataset",2,"China",2009,2010,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Sun et al 2013",NA,NA,NA,NA,NA,NA,NA,0.453,NA,NA,NA,NA,NA,0.453,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 57","Yellow River Estuary","China 57","Coastal wetland",37.8,119.23,"direct from dataset",2,"China",2010,2011,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Sun et al 2013",NA,NA,NA,NA,NA,NA,NA,0.465,NA,NA,NA,NA,NA,0.465,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 62","Yellow River Estuary","China 62","Coastal wetland",37.82,119.25,"direct from dataset",2,"China",2012,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Zhang et al 2013",NA,NA,NA,NA,NA,NA,NA,0.454,NA,NA,NA,NA,NA,0.454,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 63","Yellow River Estuary","China 63","Coastal wetland",37.83,119.27,"direct from dataset",2,"China",2012,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Zhang et al 2013",NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.45,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 64","Yellow River Estuary","China 64","Coastal wetland",37.85,119.28,"direct from dataset",2,"China",2012,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Zhang et al 2013",NA,NA,NA,NA,NA,NA,NA,0.461,NA,NA,NA,NA,NA,0.461,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 71","Yellow River Estuary","China 71","Coastal wetland",37.8,119.18,"direct from dataset",2,"China",2011,2012,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Sun et al 2018",NA,NA,NA,NA,NA,NA,NA,0.476,NA,NA,NA,NA,NA,0.476,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 86","Yellow River Estuary","China 86","Coastal wetland",37.81,119.09,"direct from dataset",2,"China",2010,2011,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Sun et al 2014",NA,NA,NA,NA,NA,NA,NA,0.453,NA,NA,NA,NA,NA,0.453,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 88","Yellow River Estuary","China 88","Coastal wetland",37.81,119.1,"direct from dataset",2,"China",2010,2011,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Sun et al 2014",NA,NA,NA,NA,NA,NA,NA,0.454,NA,NA,NA,NA,NA,0.454,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 157","Yellow River Estuary","China 157","Coastal wetland",37.78,119.15,"direct from dataset",2,"China",2009,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Jiang et al 2012",NA,NA,NA,NA,NA,NA,NA,0.452,NA,NA,NA,NA,NA,0.452,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 158","Yellow River Estuary","China 158","Coastal wetland",37.77,119.15,"direct from dataset",2,"China",2009,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Jiang et al 2012",NA,NA,NA,NA,NA,NA,NA,0.456,NA,NA,NA,NA,NA,0.456,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 159","Yellow River Estuary","China 159","Coastal wetland",37.79,119.15,"direct from dataset",2,"China",2009,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Jiang et al 2012",NA,NA,NA,NA,NA,NA,NA,0.454,NA,NA,NA,NA,NA,0.454,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 160","Yellow River Estuary","China 160","Coastal wetland",37.79,119.17,"direct from dataset",2,"China",2009,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Jiang et al 2012",NA,NA,NA,NA,NA,NA,NA,0.459,NA,NA,NA,NA,NA,0.459,NA,NA,10,"0-10cm"
"Hu et al 2020","MH China 22","Zhangjiang River Estuary","China 22","Coastal wetland",23.92,117.42,"direct from dataset",2,"China",2014,NA,0,0.2,NA,"Review",NA,NA,NA,NA,NA,NA,NA,"Gao et al 2018",NA,NA,NA,NA,NA,NA,NA,1.048,NA,NA,NA,NA,NA,1.048,NA,NA,10,"0-10cm"
"Human et al 2022","LRDH Swartkops 1 Summer 1","Swartkops Estuary",NA,"Saltmarsh",-33.8689,25.6286,"direct from dataset",1,"SouthAfrica",2018,NA,0,0.05,"LOI","Core-level",1.332480917,1.37209,"1",1.950710372,NA,NA,"OC = 1.1345*OM - 0.8806","Human et al 2022",NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.332480917,1.950710372,1.37209,2.5,"0-10cm"
"Human et al 2022","LRDH Swartkops 2 Summer 1","Swartkops Estuary",NA,"Saltmarsh",-33.8532,25.6139,"direct from dataset",1,"SouthAfrica",2018,NA,0.3,0.4,"LOI","Core-level",4.923655117,0.861486667,"1",5.116134964,NA,NA,"OC = 1.1345*OM - 0.8806","Human et al 2022",NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.923655117,5.116134964,0.861486667,35,"30-50cm"
"Human et al 2022","LRDH Swartkops 3 Summer 1","Swartkops Estuary",NA,"Saltmarsh",-33.8692,25.6148,"direct from dataset",1,"SouthAfrica",2018,NA,0,0.05,"LOI","Core-level",6.474692631,0.88173,"1",6.483290111,NA,NA,"OC = 1.1345*OM - 0.8806","Human et al 2022",NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.474692631,6.483290111,0.88173,2.5,"0-10cm"
"Human et al 2022","LRDH Swartkops 4 Summer 1","Swartkops Estuary",NA,"Saltmarsh",-33.866,25.6104,"direct from dataset",1,"SouthAfrica",2018,NA,0.05,0.1,"LOI","Core-level",5.177668942,1.122113333,"1",5.340034326,NA,NA,"OC = 1.1345*OM - 0.8806","Human et al 2022",NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.177668942,5.340034326,1.122113333,7.5,"0-10cm"
"Human et al 2022","LRDH Swartkops 5 Summer 1","Swartkops Estuary",NA,"Saltmarsh",-33.8504,25.5967,"direct from dataset",1,"SouthAfrica",2018,NA,0,0.05,"LOI","Core-level",3.625887931,1.155753333,"1",3.972223826,NA,NA,"OC = 1.1345*OM - 0.8806","Human et al 2022",NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625887931,3.972223826,1.155753333,2.5,"0-10cm"
"Human et al 2022","LRDH Swartkops 6 Winter 1","Swartkops Estuary",NA,"Saltmarsh",-33.8375,25.5887,"direct from dataset",1,"SouthAfrica",2019,NA,0.05,0.1,"LOI","Core-level",2.337505715,0.709166667,"1",2.836585028,NA,NA,"OC = 1.1345*OM - 0.8806","Human et al 2022",NA,NA,NA,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.337505715,2.836585028,0.709166667,7.5,"0-10cm"
"Kauffman et al 2020","JBK Marisma High 1","Marisma High","1","Marshes",-1.16222222222222,-46.8444444444444,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",3.3,0.92,NA,NA,NA,0.249,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,0.92,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma High 2","Marisma High","2","Marshes",-1.16111111111111,-46.8425,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",3.77,0.96,NA,NA,NA,0.296,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77,NA,0.96,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma High 3","Marisma High","3","Marshes",-1.16,-46.8391666666667,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",3.59,0.98,NA,NA,NA,0.28,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59,NA,0.98,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma High 4","Marisma High","4","Marshes",-1.15888888888889,-46.8386111111111,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",3.59,1.01,NA,NA,NA,0.346,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59,NA,1.01,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma High 5","Marisma High","5","Marshes",-1.15777777777778,-46.8775,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",4.16,0.86,NA,NA,NA,0.436,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.16,NA,0.86,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma High 6","Marisma High","6","Marshes",-1.15694444444444,-46.8752777777778,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",6.47,0.9,NA,NA,NA,0.638,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47,NA,0.9,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Low 1","Marisma Low","1","Marshes",-1.12555555555556,-46.8738888888889,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",1.193,0.84,NA,NA,NA,0.096,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.193,NA,0.84,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Low 2","Marisma Low","2","Marshes",-1.12805555555556,-46.8725,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",1.346,0.74,NA,NA,NA,0.117,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.346,NA,0.74,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Low 3","Marisma Low","3","Marshes",-1.13111111111111,-46.8713888888889,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",0.975,1.06,NA,NA,NA,0.086,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975,NA,1.06,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Low 4","Marisma Low","4","Marshes",-1.13361111111111,-46.8697222222222,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",2.291,0.66,NA,NA,NA,0.183,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.291,NA,0.66,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Low 5","Marisma Low","5","Marshes",-1.13666666666667,-46.8683333333333,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",1.454,0.91,NA,NA,NA,0.129,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.454,NA,0.91,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Low 6","Marisma Low","6","Marshes",-1.14,-46.9138888888889,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",1.201,0.93,NA,NA,NA,0.115,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.201,NA,0.93,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Medium 1","Marisma Medium","1","Marshes",-1.10583333333333,-46.9169444444444,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",2.52,0.98,NA,NA,NA,0.174,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,NA,0.98,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Medium 2","Marisma Medium","2","Marshes",-1.10527777777778,-46.9194444444444,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",2.02,1.2,NA,NA,NA,0.134,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,NA,1.2,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Medium 3","Marisma Medium","3","Marshes",-1.10444444444444,-46.9222222222222,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",2.26,1.05,NA,NA,NA,0.154,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26,NA,1.05,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Medium 4","Marisma Medium","4","Marshes",-1.10388888888889,-46.925,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",1.09,1.29,NA,NA,NA,0.078,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,1.29,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Medium 5","Marisma Medium","5","Marshes",-1.10361111111111,-46.9283333333333,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",1.64,1.09,NA,NA,NA,0.115,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,1.09,8,"0-10cm"
"Kauffman et al 2020","JBK Marisma Medium 6","Marisma Medium","6","Marshes",-1.10277777777778,-46.6883333333333,"direct from dataset",1,"Brazil",2017,NA,0.01,0.15,"EA","Core-level",0.9,1.23,NA,NA,NA,0.068,NA,"Kauffman et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,1.23,8,"0-10cm"
"Kohfeld et al 2022","KEH CBE_1-1","Cannery Bay East",NA,"Salt marsh",49.14139,-125.6662,"direct from dataset",1,"Canada",2016,NA,0,0.01,"EA","Core-level",NA,0.08,"CBE_1-1",97.78,NA,NA,NA,"Kohfeld et al 2022"," British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.78,0.08,0.5,"0-10cm"
"Kohfeld et al 2022","KEH CBE_1-2","Cannery Bay East",NA,"Salt marsh",49.14142,-125.66629,"direct from dataset",1,"Canada",2016,NA,0,0.01,"EA","Core-level",NA,0.1,"CBE_1-2",90.92,NA,NA,NA,"Kohfeld et al 2022"," British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.92,0.1,0.5,"0-10cm"
"Kohfeld et al 2022","KEH CBE_1-3","Cannery Bay East",NA,"Salt marsh",49.14147,-125.66636,"direct from dataset",1,"Canada",2016,NA,0,0.01,"EA","Core-level",NA,0.09,"CBE_1-3",83.33,NA,NA,NA,"Kohfeld et al 2022"," British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,0.09,0.5,"0-10cm"
