"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","SOM_perc","SOM_perc_Heiri","N_perc","Conv_factor","Original_source","Admin_unit","Depth_to_bedrock_m","Treatment","Time_replicate","n_cores","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined","Horizon_mid_depth_cm","Horizon_bin_cm"
"Adame et al 2021","MFA Chapala 90m","Chapala","Chapala 90m","Salt marsh",30.513634712485,-115.983579700134,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",15.33,0.23,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.33,NA,0.23,7.5,"0-10cm"
"Adame et al 2021","MFA Kenton 10m","Kenton","Kenton 10m","Salt marsh",30.4653149710291,-115.98006346212,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",6.43,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43,NA,0.52,7.5,"0-10cm"
"Adame et al 2021","MFA Kenton 30m","Kenton","Kenton 30m","Salt marsh",30.465416832222,-115.980235827254,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",3.82,0.52,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82,NA,0.52,7.5,"0-10cm"
"Adame et al 2021","MFA Kenton 50m","Kenton","Kenton 50m","Salt marsh",30.4655152128799,-115.980405848819,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",6.96,0.35,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.96,NA,0.35,7.5,"0-10cm"
"Adame et al 2021","MFA Kenton 70m","Kenton","Kenton 70m","Salt marsh",30.4656175841831,-115.980580505587,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",3.92,0.5,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92,NA,0.5,7.5,"0-10cm"
"Adame et al 2021","MFA Kenton 90m","Kenton","Kenton 90m","Salt marsh",30.4657176916862,-115.98075191678,"direct from dataset and estimated",1,"Mexico",2018,NA,0,0.15,"EA","Core-level",3.56,0.79,NA,NA,NA,NA,NA,"Adame et al 2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,NA,0.79,7.5,"0-10cm"
"Beasy and Ellison 2013","KMB Tasmania Site 1.1","Rubicon Estuary",NA,"Salt marsh",-41.1544,140.6006,"direct from dataset",1,"Australia",2011,NA,0.25,0.3,"EA","Core-level",0.43,NA,"Site 1.1",0.7,1.04,NA,NA,"Beasy and Ellison 2013","Tasmania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.7,NA,27.5,"10-30cm"
"Beasy and Ellison 2013","KMB Tasmania Site 1.2","Rubicon Estuary",NA,"Salt marsh",-41.1548,140.5994,"direct from dataset",1,"Australia",2011,NA,0.1,0.15,"EA","Core-level",1.7,NA,"Site 1.2",3.41,2.13,NA,NA,"Beasy and Ellison 2013","Tasmania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3.41,NA,12.5,"10-30cm"
"Bulmer et al 2020","RHB 10","pauanui",NA,"saltmarsh",-37.030115,175.850659,"direct from dataset",1,"New Zealand",2016,NA,0,0.02,"EA","Core-level",14.3936,0.6,"10",NA,NA,0.45,NA,"Bulmer et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3936,NA,0.6,1,"0-10cm"
"Bulmer et al 2020","RHB 11","pauanui",NA,"saltmarsh",-37.030126,175.850538,"direct from dataset",1,"New Zealand",2016,NA,0,0.02,"EA","Core-level",2.05524,0.74,"11",NA,NA,0.23,NA,"Bulmer et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05524,NA,0.74,1,"0-10cm"
"Bulmer et al 2020","RHB 12","pauanui",NA,"saltmarsh",-37.030039,175.850463,"direct from dataset",1,"New Zealand",2016,NA,0,0.02,"EA","Core-level",5.61904,0.32,"12",NA,NA,0.63,NA,"Bulmer et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.61904,NA,0.32,1,"0-10cm"
"Bulmer et al 2020","RHB 31","tairua mid",NA,"saltmarsh",-37.021096,175.84111,"direct from dataset",1,"New Zealand",2016,NA,0,0.02,"EA","Core-level",7.8888,0.65,"31",NA,NA,0.51,NA,"Bulmer et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8888,NA,0.65,1,"0-10cm"
"Bulmer et al 2020","RHB 32","tairua mid",NA,"saltmarsh",-37.02132,175.841643,"direct from dataset",1,"New Zealand",2016,NA,0,0.02,"EA","Core-level",8.7884,0.61,"32",NA,NA,0.7,NA,"Bulmer et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7884,NA,0.61,1,"0-10cm"
"Bulmer et al 2020","RHB 33","tairua mid",NA,"saltmarsh",-37.021554,175.842077,"direct from dataset",1,"New Zealand",2016,NA,0,0.02,"EA","Core-level",1.37016,0.47,"33",NA,NA,0.11,NA,"Bulmer et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37016,NA,0.47,1,"0-10cm"
